"Sm_Messstelle","Sm_DatumZeit","Sm_schnee"
1,2013-03-17,114
1,2013-03-18,102
1,2013-03-19,103
1,2013-03-20,99
1,2013-03-21,93
1,2013-03-22,109
1,2013-03-23,122
1,2013-03-24,125
1,2013-03-25,144
1,2013-03-26,156
1,2013-03-27,166
1,2013-03-28,182
1,2013-03-29,185
1,2013-03-30,201
1,2013-03-31,213
1,2013-04-01,224
1,2013-04-02,240
1,2013-04-03,222
1,2013-04-04,205
1,2013-04-05,188
1,2013-04-06,175
1,2013-04-07,157
1,2013-04-08,144
1,2013-04-09,129
1,2013-04-10,107
1,2013-04-11,97
1,2013-04-12,75
1,2013-04-13,66
1,2013-04-14,48
1,2013-04-15,42
1,2013-04-16,42
1,2013-04-17,42
1,2013-04-18,35
1,2013-04-19,44
1,2013-04-20,42
1,2013-04-21,39
2,2012-12-01,18
2,2012-12-02,23
2,2012-12-03,18
2,2012-12-04,24
2,2012-12-05,37
2,2012-12-06,34
2,2012-12-07,33
2,2012-12-08,27
2,2012-12-09,21
2,2012-12-10,22
2,2012-12-11,45
2,2012-12-12,43
2,2012-12-13,41
2,2012-12-14,54
2,2012-12-15,57
2,2012-12-16,56
2,2012-12-17,53
2,2012-12-18,49
2,2012-12-19,50
2,2012-12-20,48
2,2012-12-21,57
2,2012-12-22,69
2,2012-12-23,68
2,2012-12-24,89
2,2012-12-25,99
2,2012-12-26,114
2,2012-12-27,135
2,2012-12-28,133
2,2012-12-29,135
2,2012-12-30,135
2,2012-12-31,132
2,2013-01-01,130
2,2013-01-02,144
2,2013-01-03,149
2,2013-01-04,162
2,2013-01-05,169
2,2013-01-06,180
2,2013-01-07,193
2,2013-01-08,205
2,2013-01-09,210
2,2013-01-10,221
2,2013-01-11,227
2,2013-01-12,242
2,2013-01-13,251
2,2013-01-14,265
2,2013-01-15,276
2,2013-01-16,283
2,2013-01-17,290
2,2013-01-18,298
2,2013-01-19,310
2,2013-01-20,326
2,2013-01-21,331
2,2013-01-22,336
2,2013-01-23,335
2,2013-01-24,335
2,2013-01-25,335
2,2013-01-26,335
2,2013-01-27,330
2,2013-01-28,327
2,2013-01-29,332
2,2013-01-30,330
2,2013-01-31,335
2,2013-02-01,318
2,2013-02-02,305
2,2013-02-03,288
2,2013-02-04,277
2,2013-02-05,264
2,2013-02-06,254
2,2013-02-07,238
2,2013-02-08,223
2,2013-02-09,219
2,2013-02-10,203
2,2013-02-11,191
2,2013-02-12,175
2,2013-02-13,158
2,2013-02-14,147
2,2013-02-15,139
2,2013-02-16,124
2,2013-02-17,139
2,2013-02-18,157
2,2013-02-19,175
2,2013-02-20,198
2,2013-02-21,216
2,2013-02-22,236
2,2013-02-23,222
2,2013-02-24,220
2,2013-02-25,221
2,2013-02-26,226
2,2013-02-27,223
2,2013-02-28,225
2,2013-03-01,221
2,2013-03-02,206
2,2013-03-03,193
2,2013-03-04,186
2,2013-03-05,173
2,2013-03-06,165
2,2013-03-07,152
2,2013-03-08,137
2,2013-03-09,126
2,2013-03-10,118
2,2013-03-11,106
2,2013-03-12,101
2,2013-03-13,93
2,2013-03-14,91
2,2013-03-15,89
2,2013-03-16,80
2,2013-03-17,85
2,2013-03-18,76
2,2013-03-19,78
2,2013-03-20,70
2,2013-03-21,67
2,2013-03-22,78
2,2013-03-23,87
2,2013-03-24,102
2,2013-03-25,114
2,2013-03-26,120
2,2013-03-27,134
2,2013-03-28,149
2,2013-03-29,165
2,2013-03-30,174
2,2013-03-31,187
2,2013-04-01,193
2,2013-04-02,206
2,2013-04-03,193
2,2013-04-04,179
2,2013-04-05,165
2,2013-04-06,145
2,2013-04-07,133
2,2013-04-08,116
2,2013-04-09,93
2,2013-04-10,81
2,2013-04-11,67
2,2013-04-12,46
2,2013-04-13,37
2,2013-04-14,16
2,2013-04-15,9
2,2013-04-16,8
2,2013-04-17,14
2,2013-04-18,14
2,2013-04-19,11
2,2013-04-20,10
2,2013-04-21,15
3,2012-12-01,16
3,2012-12-02,18
3,2012-12-03,20
3,2012-12-04,16
3,2012-12-05,33
3,2012-12-06,27
3,2012-12-07,29
3,2012-12-08,28
3,2012-12-09,24
3,2012-12-10,19
3,2012-12-11,36
3,2012-12-12,37
3,2012-12-13,40
3,2012-12-14,48
3,2012-12-15,50
3,2012-12-16,50
3,2012-12-17,44
3,2012-12-18,49
3,2012-12-19,46
3,2012-12-20,49
3,2012-12-21,49
3,2012-12-22,64
3,2012-12-23,64
3,2012-12-24,81
3,2012-12-25,93
3,2012-12-26,109
3,2012-12-27,125
3,2012-12-28,126
3,2012-12-29,127
3,2012-12-30,124
3,2012-12-31,124
3,2013-01-01,127
3,2013-01-02,137
3,2013-01-03,144
3,2013-01-04,154
3,2013-01-05,164
3,2013-01-06,180
3,2013-01-07,188
3,2013-01-08,194
3,2013-01-09,210
3,2013-01-10,217
3,2013-01-11,225
3,2013-01-12,236
3,2013-01-13,244
3,2013-01-14,253
3,2013-01-15,268
3,2013-01-16,275
3,2013-01-17,282
3,2013-01-18,300
3,2013-01-19,302
3,2013-01-20,316
3,2013-01-21,322
3,2013-01-22,330
3,2013-01-23,323
3,2013-01-24,331
3,2013-01-25,325
3,2013-01-26,323
3,2013-01-27,324
3,2013-01-28,327
3,2013-01-29,325
3,2013-01-30,331
3,2013-01-31,324
3,2013-02-01,313
3,2013-02-02,298
3,2013-02-03,287
3,2013-02-04,278
3,2013-02-05,259
3,2013-02-06,253
3,2013-02-07,240
3,2013-02-08,223
3,2013-02-09,210
3,2013-02-10,199
3,2013-02-11,180
3,2013-02-12,171
3,2013-02-13,162
3,2013-02-14,147
3,2013-02-15,134
3,2013-02-16,119
3,2013-02-17,141
3,2013-02-18,151
3,2013-02-19,168
3,2013-02-20,191
3,2013-02-21,212
3,2013-02-22,231
3,2013-02-23,217
3,2013-02-24,217
3,2013-02-25,214
3,2013-02-26,216
3,2013-02-27,223
3,2013-02-28,218
3,2013-03-01,216
3,2013-03-02,199
3,2013-03-03,189
3,2013-03-04,174
3,2013-03-05,171
3,2013-03-06,152
3,2013-03-07,146
3,2013-03-08,136
3,2013-03-09,125
3,2013-03-10,118
3,2013-03-11,105
3,2013-03-12,98
3,2013-03-13,90
3,2013-03-14,87
3,2013-03-15,80
3,2013-03-16,79
3,2013-03-17,74
3,2013-03-18,77
3,2013-03-19,66
3,2013-03-20,62
3,2013-03-21,61
3,2013-03-22,74
3,2013-03-23,89
3,2013-03-24,93
3,2013-03-25,105
3,2013-03-26,122
3,2013-03-27,135
3,2013-03-28,142
3,2013-03-29,159
3,2013-03-30,170
3,2013-03-31,178
3,2013-04-01,195
3,2013-04-02,200
3,2013-04-03,186
3,2013-04-04,176
3,2013-04-05,159
3,2013-04-06,145
3,2013-04-07,128
3,2013-04-08,112
3,2013-04-09,91
3,2013-04-10,72
3,2013-04-11,64
3,2013-04-12,48
3,2013-04-13,29
3,2013-04-14,13
3,2013-04-15,6
3,2013-04-16,7
3,2013-04-17,9
3,2013-04-18,11
3,2013-04-19,6
3,2013-04-20,5
3,2013-04-21,5
4,2012-12-01,56
4,2012-12-02,52
4,2012-12-03,54
4,2012-12-04,46
4,2012-12-05,65
4,2012-12-06,61
4,2012-12-07,64
4,2012-12-08,57
4,2012-12-09,59
4,2012-12-10,55
4,2012-12-11,69
4,2012-12-12,71
4,2012-12-13,72
4,2012-12-14,74
4,2012-12-15,85
4,2012-12-16,83
4,2012-12-17,81
4,2012-12-18,82
4,2012-12-19,84
4,2012-12-20,83
4,2012-12-21,85
4,2012-12-22,99
4,2012-12-23,96
4,2012-12-24,113
4,2012-12-25,128
4,2012-12-26,144
4,2012-12-27,162
4,2012-12-28,164
4,2012-12-29,159
4,2012-12-30,161
4,2012-12-31,163
4,2013-01-01,160
4,2013-01-02,169
4,2013-01-03,185
4,2013-01-04,194
4,2013-01-05,199
4,2013-01-06,208
4,2013-01-07,224
4,2013-01-08,227
4,2013-01-09,237
4,2013-01-10,253
4,2013-01-11,256
4,2013-01-12,265
4,2013-01-13,277
4,2013-01-14,285
4,2013-01-15,303
4,2013-01-16,312
4,2013-01-17,319
4,2013-01-18,328
4,2013-01-19,344
4,2013-01-20,351
4,2013-01-21,359
4,2013-01-22,357
4,2013-01-23,358
4,2013-01-24,355
4,2013-01-25,364
4,2013-01-26,355
4,2013-01-27,364
4,2013-01-28,356
4,2013-01-29,355
4,2013-01-30,359
4,2013-01-31,362
4,2013-02-01,346
4,2013-02-02,334
4,2013-02-03,324
4,2013-02-04,308
4,2013-02-05,296
4,2013-02-06,281
4,2013-02-07,267
4,2013-02-08,255
4,2013-02-09,248
4,2013-02-10,232
4,2013-02-11,215
4,2013-02-12,207
4,2013-02-13,188
4,2013-02-14,179
4,2013-02-15,162
4,2013-02-16,154
4,2013-02-17,166
4,2013-02-18,190
4,2013-02-19,209
4,2013-02-20,220
4,2013-02-21,244
4,2013-02-22,263
4,2013-02-23,255
4,2013-02-24,251
4,2013-02-25,256
4,2013-02-26,252
4,2013-02-27,249
4,2013-02-28,249
4,2013-03-01,255
4,2013-03-02,227
4,2013-03-03,218
4,2013-03-04,208
4,2013-03-05,195
4,2013-03-06,194
4,2013-03-07,178
4,2013-03-08,167
4,2013-03-09,156
4,2013-03-10,147
4,2013-03-11,131
4,2013-03-12,127
4,2013-03-13,128
4,2013-03-14,121
4,2013-03-15,118
4,2013-03-16,117
4,2013-03-17,114
4,2013-03-18,108
4,2013-03-19,103
4,2013-03-20,95
4,2013-03-21,97
4,2013-03-22,104
4,2013-03-23,121
4,2013-03-24,133
4,2013-03-25,139
4,2013-03-26,150
4,2013-03-27,162
4,2013-03-28,180
4,2013-03-29,192
4,2013-03-30,203
4,2013-03-31,210
4,2013-04-01,227
4,2013-04-02,236
4,2013-04-03,224
4,2013-04-04,207
4,2013-04-05,192
4,2013-04-06,172
4,2013-04-07,156
4,2013-04-08,146
4,2013-04-09,130
4,2013-04-10,112
4,2013-04-11,97
4,2013-04-12,78
4,2013-04-13,66
4,2013-04-14,44
4,2013-04-15,44
4,2013-04-16,38
4,2013-04-17,44
4,2013-04-18,38
4,2013-04-19,41
4,2013-04-20,43
4,2013-04-21,43
5,2012-12-01,27
5,2012-12-02,28
5,2012-12-03,25
5,2012-12-04,21
5,2012-12-05,37
5,2012-12-06,36
5,2012-12-07,38
5,2012-12-08,33
5,2012-12-09,26
5,2012-12-10,33
5,2012-12-11,49
5,2012-12-12,44
5,2012-12-13,49
5,2012-12-14,54
5,2012-12-15,52
5,2012-12-16,55
5,2012-12-17,53
5,2012-12-18,57
5,2012-12-19,57
5,2012-12-20,58
5,2012-12-21,59
5,2012-12-22,70
5,2012-12-23,78
5,2012-12-24,95
5,2012-12-25,102
5,2012-12-26,118
5,2012-12-27,139
5,2012-12-28,131
5,2012-12-29,139
5,2012-12-30,135
5,2012-12-31,132
5,2013-01-01,139
5,2013-01-02,143
5,2013-01-03,157
5,2013-01-04,166
5,2013-01-05,176
5,2013-01-06,188
5,2013-01-07,199
5,2013-01-08,200
5,2013-01-09,210
5,2013-01-10,221
5,2013-01-11,231
5,2013-01-12,240
5,2013-01-13,257
5,2013-01-14,262
5,2013-01-15,271
5,2013-01-16,288
5,2013-01-17,296
5,2013-01-18,302
5,2013-01-19,310
5,2013-01-20,323
5,2013-01-21,331
5,2013-01-22,334
5,2013-01-23,335
5,2013-01-24,338
5,2013-01-25,333
5,2013-01-26,339
5,2013-01-27,331
5,2013-01-28,332
5,2013-01-29,332
5,2013-01-30,338
5,2013-01-31,336
5,2013-02-01,321
5,2013-02-02,312
5,2013-02-03,299
5,2013-02-04,277
5,2013-02-05,269
5,2013-02-06,257
5,2013-02-07,243
5,2013-02-08,233
5,2013-02-09,219
5,2013-02-10,200
5,2013-02-11,190
5,2013-02-12,181
5,2013-02-13,162
5,2013-02-14,150
5,2013-02-15,137
5,2013-02-16,125
5,2013-02-17,148
5,2013-02-18,158
5,2013-02-19,180
5,2013-02-20,199
5,2013-02-21,214
5,2013-02-22,234
5,2013-02-23,222
5,2013-02-24,231
5,2013-02-25,230
5,2013-02-26,231
5,2013-02-27,227
5,2013-02-28,223
5,2013-03-01,226
5,2013-03-02,203
5,2013-03-03,193
5,2013-03-04,179
5,2013-03-05,170
5,2013-03-06,160
5,2013-03-07,157
5,2013-03-08,140
5,2013-03-09,130
5,2013-03-10,127
5,2013-03-11,110
5,2013-03-12,100
5,2013-03-13,97
5,2013-03-14,100
5,2013-03-15,94
5,2013-03-16,89
5,2013-03-17,80
5,2013-03-18,81
5,2013-03-19,73
5,2013-03-20,72
5,2013-03-21,68
5,2013-03-22,84
5,2013-03-23,92
5,2013-03-24,108
5,2013-03-25,116
5,2013-03-26,128
5,2013-03-27,145
5,2013-03-28,157
5,2013-03-29,164
5,2013-03-30,181
5,2013-03-31,185
5,2013-04-01,202
5,2013-04-02,211
5,2013-04-03,193
5,2013-04-04,184
5,2013-04-05,168
5,2013-04-06,148
5,2013-04-07,136
5,2013-04-08,120
5,2013-04-09,102
5,2013-04-10,82
5,2013-04-11,64
5,2013-04-12,55
5,2013-04-13,41
5,2013-04-14,25
5,2013-04-15,17
5,2013-04-16,17
5,2013-04-17,11
5,2013-04-18,18
5,2013-04-19,15
5,2013-04-20,11
5,2013-04-21,15
6,2012-12-01,38
6,2012-12-02,43
6,2012-12-03,39
6,2012-12-04,42
6,2012-12-05,56
6,2012-12-06,49
6,2012-12-07,51
6,2012-12-08,51
6,2012-12-09,42
6,2012-12-10,49
6,2012-12-11,64
6,2012-12-12,62
6,2012-12-13,62
6,2012-12-14,70
6,2012-12-15,75
6,2012-12-16,72
6,2012-12-17,71
6,2012-12-18,76
6,2012-12-19,69
6,2012-12-20,72
6,2012-12-21,71
6,2012-12-22,85
6,2012-12-23,95
6,2012-12-24,109
6,2012-12-25,122
6,2012-12-26,127
6,2012-12-27,150
6,2012-12-28,149
6,2012-12-29,151
6,2012-12-30,148
6,2012-12-31,151
6,2013-01-01,156
6,2013-01-02,161
6,2013-01-03,172
6,2013-01-04,179
6,2013-01-05,187
6,2013-01-06,200
6,2013-01-07,207
6,2013-01-08,221
6,2013-01-09,227
6,2013-01-10,242
6,2013-01-11,256
6,2013-01-12,258
6,2013-01-13,273
6,2013-01-14,286
6,2013-01-15,293
6,2013-01-16,305
6,2013-01-17,312
6,2013-01-18,317
6,2013-01-19,328
6,2013-01-20,336
6,2013-01-21,356
6,2013-01-22,347
6,2013-01-23,353
6,2013-01-24,353
6,2013-01-25,349
6,2013-01-26,355
6,2013-01-27,352
6,2013-01-28,351
6,2013-01-29,350
6,2013-01-30,347
6,2013-01-31,350
6,2013-02-01,337
6,2013-02-02,327
6,2013-02-03,317
6,2013-02-04,296
6,2013-02-05,287
6,2013-02-06,271
6,2013-02-07,258
6,2013-02-08,248
6,2013-02-09,237
6,2013-02-10,222
6,2013-02-11,205
6,2013-02-12,197
6,2013-02-13,179
6,2013-02-14,169
6,2013-02-15,157
6,2013-02-16,140
6,2013-02-17,164
6,2013-02-18,182
6,2013-02-19,195
6,2013-02-20,215
6,2013-02-21,234
6,2013-02-22,247
6,2013-02-23,244
6,2013-02-24,246
6,2013-02-25,239
6,2013-02-26,248
6,2013-02-27,239
6,2013-02-28,241
6,2013-03-01,245
6,2013-03-02,220
6,2013-03-03,212
6,2013-03-04,197
6,2013-03-05,188
6,2013-03-06,185
6,2013-03-07,168
6,2013-03-08,166
6,2013-03-09,155
6,2013-03-10,145
6,2013-03-11,126
6,2013-03-12,119
6,2013-03-13,116
6,2013-03-14,111
6,2013-03-15,109
6,2013-03-16,106
6,2013-03-17,99
6,2013-03-18,97
6,2013-03-19,90
6,2013-03-20,86
6,2013-03-21,89
6,2013-03-22,102
6,2013-03-23,108
6,2013-03-24,117
6,2013-03-25,133
6,2013-03-26,143
6,2013-03-27,162
6,2013-03-28,170
6,2013-03-29,181
6,2013-03-30,197
6,2013-03-31,207
6,2013-04-01,221
6,2013-04-02,233
6,2013-04-03,215
6,2013-04-04,202
6,2013-04-05,177
6,2013-04-06,163
6,2013-04-07,151
6,2013-04-08,135
6,2013-04-09,115
6,2013-04-10,105
6,2013-04-11,84
6,2013-04-12,65
6,2013-04-13,51
6,2013-04-14,38
6,2013-04-15,29
6,2013-04-16,27
6,2013-04-17,35
6,2013-04-18,28
6,2013-04-19,28
6,2013-04-20,34
6,2013-04-21,31
7,2012-12-01,32
7,2012-12-02,35
7,2012-12-03,31
7,2012-12-04,33
7,2012-12-05,47
7,2012-12-06,43
7,2012-12-07,43
7,2012-12-08,38
7,2012-12-09,34
7,2012-12-10,35
7,2012-12-11,55
7,2012-12-12,57
7,2012-12-13,59
7,2012-12-14,58
7,2012-12-15,65
7,2012-12-16,64
7,2012-12-17,68
7,2012-12-18,64
7,2012-12-19,70
7,2012-12-20,64
7,2012-12-21,65
7,2012-12-22,78
7,2012-12-23,78
7,2012-12-24,98
7,2012-12-25,114
7,2012-12-26,126
7,2012-12-27,143
7,2012-12-28,139
7,2012-12-29,146
7,2012-12-30,141
7,2012-12-31,142
7,2013-01-01,148
7,2013-01-02,150
7,2013-01-03,163
7,2013-01-04,177
7,2013-01-05,186
7,2013-01-06,195
7,2013-01-07,206
7,2013-01-08,212
7,2013-01-09,220
7,2013-01-10,233
7,2013-01-11,241
7,2013-01-12,254
7,2013-01-13,267
7,2013-01-14,269
7,2013-01-15,282
7,2013-01-16,298
7,2013-01-17,306
7,2013-01-18,309
7,2013-01-19,319
7,2013-01-20,334
7,2013-01-21,347
7,2013-01-22,342
7,2013-01-23,348
7,2013-01-24,343
7,2013-01-25,342
7,2013-01-26,340
7,2013-01-27,348
7,2013-01-28,340
7,2013-01-29,344
7,2013-01-30,345
7,2013-01-31,343
7,2013-02-01,335
7,2013-02-02,317
7,2013-02-03,300
7,2013-02-04,295
7,2013-02-05,275
7,2013-02-06,267
7,2013-02-07,251
7,2013-02-08,237
7,2013-02-09,226
7,2013-02-10,216
7,2013-02-11,200
7,2013-02-12,191
7,2013-02-13,178
7,2013-02-14,158
7,2013-02-15,151
7,2013-02-16,140
7,2013-02-17,153
7,2013-02-18,169
7,2013-02-19,188
7,2013-02-20,211
7,2013-02-21,231
7,2013-02-22,239
7,2013-02-23,234
7,2013-02-24,233
7,2013-02-25,233
7,2013-02-26,234
7,2013-02-27,231
7,2013-02-28,240
7,2013-03-01,237
7,2013-03-02,216
7,2013-03-03,206
7,2013-03-04,192
7,2013-03-05,185
7,2013-03-06,169
7,2013-03-07,160
7,2013-03-08,149
7,2013-03-09,145
7,2013-03-10,133
7,2013-03-11,118
7,2013-03-12,114
7,2013-03-13,110
7,2013-03-14,107
7,2013-03-15,103
7,2013-03-16,97
7,2013-03-17,96
7,2013-03-18,92
7,2013-03-19,85
7,2013-03-20,83
7,2013-03-21,73
7,2013-03-22,91
7,2013-03-23,106
7,2013-03-24,118
7,2013-03-25,129
7,2013-03-26,136
7,2013-03-27,147
7,2013-03-28,159
7,2013-03-29,173
7,2013-03-30,182
7,2013-03-31,199
7,2013-04-01,213
7,2013-04-02,223
7,2013-04-03,210
7,2013-04-04,193
7,2013-04-05,175
7,2013-04-06,157
7,2013-04-07,143
7,2013-04-08,127
7,2013-04-09,106
7,2013-04-10,95
7,2013-04-11,78
7,2013-04-12,57
7,2013-04-13,44
7,2013-04-14,30
7,2013-04-15,27
7,2013-04-16,22
7,2013-04-17,28
7,2013-04-18,27
7,2013-04-19,21
7,2013-04-20,19
7,2013-04-21,28
8,2012-12-01,27
8,2012-12-02,29
8,2012-12-03,21
8,2012-12-04,24
8,2012-12-05,36
8,2012-12-06,32
8,2012-12-07,39
8,2012-12-08,31
8,2012-12-09,25
8,2012-12-10,29
8,2012-12-11,45
8,2012-12-12,50
8,2012-12-13,46
8,2012-12-14,54
8,2012-12-15,56
8,2012-12-16,50
8,2012-12-17,54
8,2012-12-18,60
8,2012-12-19,59
8,2012-12-20,52
8,2012-12-21,60
8,2012-12-22,68
8,2012-12-23,74
8,2012-12-24,87
8,2012-12-25,102
8,2012-12-26,109
8,2012-12-27,134
8,2012-12-28,136
8,2012-12-29,134
8,2012-12-30,138
8,2012-12-31,131
8,2013-01-01,135
8,2013-01-02,145
8,2013-01-03,150
8,2013-01-04,161
8,2013-01-05,175
8,2013-01-06,185
8,2013-01-07,197
8,2013-01-08,207
8,2013-01-09,213
8,2013-01-10,224
8,2013-01-11,237
8,2013-01-12,242
8,2013-01-13,250
8,2013-01-14,266
8,2013-01-15,273
8,2013-01-16,287
8,2013-01-17,289
8,2013-01-18,303
8,2013-01-19,310
8,2013-01-20,320
8,2013-01-21,333
8,2013-01-22,337
8,2013-01-23,333
8,2013-01-24,329
8,2013-01-25,335
8,2013-01-26,335
8,2013-01-27,335
8,2013-01-28,337
8,2013-01-29,337
8,2013-01-30,334
8,2013-01-31,330
8,2013-02-01,324
8,2013-02-02,307
8,2013-02-03,297
8,2013-02-04,286
8,2013-02-05,269
8,2013-02-06,256
8,2013-02-07,246
8,2013-02-08,224
8,2013-02-09,212
8,2013-02-10,200
8,2013-02-11,190
8,2013-02-12,179
8,2013-02-13,169
8,2013-02-14,155
8,2013-02-15,143
8,2013-02-16,125
8,2013-02-17,143
8,2013-02-18,160
8,2013-02-19,182
8,2013-02-20,201
8,2013-02-21,218
8,2013-02-22,229
8,2013-02-23,221
8,2013-02-24,230
8,2013-02-25,221
8,2013-02-26,227
8,2013-02-27,229
8,2013-02-28,222
8,2013-03-01,224
8,2013-03-02,203
8,2013-03-03,191
8,2013-03-04,184
8,2013-03-05,175
8,2013-03-06,167
8,2013-03-07,149
8,2013-03-08,142
8,2013-03-09,131
8,2013-03-10,122
8,2013-03-11,107
8,2013-03-12,107
8,2013-03-13,98
8,2013-03-14,91
8,2013-03-15,96
8,2013-03-16,91
8,2013-03-17,83
8,2013-03-18,76
8,2013-03-19,78
8,2013-03-20,68
8,2013-03-21,64
8,2013-03-22,82
8,2013-03-23,90
8,2013-03-24,100
8,2013-03-25,120
8,2013-03-26,123
8,2013-03-27,135
8,2013-03-28,151
8,2013-03-29,163
8,2013-03-30,177
8,2013-03-31,184
8,2013-04-01,200
8,2013-04-02,211
8,2013-04-03,198
8,2013-04-04,177
8,2013-04-05,161
8,2013-04-06,146
8,2013-04-07,132
8,2013-04-08,117
8,2013-04-09,98
8,2013-04-10,86
8,2013-04-11,65
8,2013-04-12,48
8,2013-04-13,39
8,2013-04-14,18
8,2013-04-15,16
8,2013-04-16,9
8,2013-04-17,12
8,2013-04-18,9
8,2013-04-19,10
8,2013-04-20,14
8,2013-04-21,18
9,2012-12-01,14
9,2012-12-02,15
9,2012-12-03,8
9,2012-12-04,16
9,2012-12-05,27
9,2012-12-06,26
9,2012-12-07,20
9,2012-12-08,18
9,2012-12-09,10
9,2012-12-10,12
9,2012-12-11,34
9,2012-12-12,36
9,2012-12-13,31
9,2012-12-14,41
9,2012-12-15,38
9,2012-12-16,46
9,2012-12-17,47
9,2012-12-18,41
9,2012-12-19,42
9,2012-12-20,44
9,2012-12-21,39
9,2012-12-22,54
9,2012-12-23,58
9,2012-12-24,77
9,2012-12-25,93
9,2012-12-26,95
9,2012-12-27,124
9,2012-12-28,117
9,2012-12-29,118
9,2012-12-30,116
9,2012-12-31,125
9,2013-01-01,119
9,2013-01-02,135
9,2013-01-03,137
9,2013-01-04,148
9,2013-01-05,157
9,2013-01-06,167
9,2013-01-07,179
9,2013-01-08,189
9,2013-01-09,205
9,2013-01-10,212
9,2013-01-11,219
9,2013-01-12,227
9,2013-01-13,242
9,2013-01-14,248
9,2013-01-15,264
9,2013-01-16,267
9,2013-01-17,282
9,2013-01-18,295
9,2013-01-19,303
9,2013-01-20,311
9,2013-01-21,319
9,2013-01-22,325
9,2013-01-23,324
9,2013-01-24,322
9,2013-01-25,325
9,2013-01-26,325
9,2013-01-27,321
9,2013-01-28,318
9,2013-01-29,317
9,2013-01-30,316
9,2013-01-31,316
9,2013-02-01,307
9,2013-02-02,297
9,2013-02-03,282
9,2013-02-04,269
9,2013-02-05,257
9,2013-02-06,243
9,2013-02-07,232
9,2013-02-08,220
9,2013-02-09,207
9,2013-02-10,193
9,2013-02-11,182
9,2013-02-12,163
9,2013-02-13,147
9,2013-02-14,135
9,2013-02-15,126
9,2013-02-16,108
9,2013-02-17,127
9,2013-02-18,144
9,2013-02-19,165
9,2013-02-20,184
9,2013-02-21,198
9,2013-02-22,218
9,2013-02-23,210
9,2013-02-24,217
9,2013-02-25,214
9,2013-02-26,216
9,2013-02-27,208
9,2013-02-28,216
9,2013-03-01,212
9,2013-03-02,188
9,2013-03-03,185
9,2013-03-04,168
9,2013-03-05,161
9,2013-03-06,149
9,2013-03-07,139
9,2013-03-08,130
9,2013-03-09,120
9,2013-03-10,107
9,2013-03-11,90
9,2013-03-12,91
9,2013-03-13,83
9,2013-03-14,78
9,2013-03-15,82
9,2013-03-16,71
9,2013-03-17,66
9,2013-03-18,64
9,2013-03-19,63
9,2013-03-20,58
9,2013-03-21,55
9,2013-03-22,67
9,2013-03-23,82
9,2013-03-24,86
9,2013-03-25,107
9,2013-03-26,112
9,2013-03-27,125
9,2013-03-28,140
9,2013-03-29,153
9,2013-03-30,163
9,2013-03-31,170
9,2013-04-01,188
9,2013-04-02,198
9,2013-04-03,180
9,2013-04-04,162
9,2013-04-05,153
9,2013-04-06,138
9,2013-04-07,122
9,2013-04-08,99
9,2013-04-09,89
9,2013-04-10,72
